index,groundtruthkeyword,claim
idx6,pre-canvass pennsylvania democrats,Why did Pennsylvania democrat pre-canvass vote in liberal areas but not let Republicans do the same
idx9,dead voter roll Pennsylvania,"Evidence of voter fraud continues to grow  including 20,000 dead people on the Pennsylvania voter roll and many thousand all over the Country"
idx13,green bay ballot ink,Green Bay absentee ballot result  are being delayed because one of the vote-counting machine ran out of ink and an elections official had to return to City Hall to get more
idx14,consent decree signature match,The Consent Decree signed by the Georgia Secretary of State with the approval of Governor Brian Kemp at the urging of stacey abrams  makes it impossible to check and match signature on ballot and envelope etc
idx14,consent decree signature check,The Consent Decree signed by the Georgia Secretary of State with the approval of Governor Brian Kemp at the urging of stacey abrams  makes it impossible to check and match signature on ballot and envelope etc
idx17,nevada vote other state,"evidence more than 15,000 vote were cast in Nevada by people who also voted in other state"
idx19,republican poll watcher observer, there is irrefutable proof that our Republican poll watcher and observe were not allowed to be present in poll counting rooms
idx20,georgia signature match,Why Governor Brian Kemp the hapless Governor of Georgia  use his emergency powers  which can be easily done  to overrule his obstinate Secretary of State and do a match of signature on envelopes
idx21,ballot view allow philadelphia,"70,0000 ballot were not allow to be view in Philadelphia and Pittsburgh which mean  based on our great Constitution  we win the State of Pennsylvania"
idx21,Pittsburgh ballot view allow,"70,0000 ballot were not allow to be view in Philadelphia and Pittsburgh which mean  based on our great Constitution  we win the State of Pennsylvania"
idx25,detroit phantom voter,In 70% of Wayne County  Detroit  there were PHANTOM VOTER
idx29,pennsylvania disenfranchise,thousand of pennsylvania residents have been disenfranchise
idx38,biden more vote obama,The idea that Joe Biden received more vote in America than Barack Obama did in 2008  is so fraudulent that it defies comprehension
idx41,usb pennsylvania vote, Pennsylvania Poll Watcher USB Drives uploaded to machine  gave Biden thousand of vote say 47 USB Drives are now missing
idx46,poll watcher observe count,Pennsylvania and Michigan did not allow our Poll Watcher Vote Observers to Watch or Observe count of vote
idx49,dump 100% biden vote,"4 a.m. dump Wisconsin 65,000 vote 100% for Biden"
idx49,trump lead stop count,"Trump lead they stop count before the vote fairy visits overnight"
idx50,wisconsin recount illegal vote,The Wisconsin recount is not about finding mistakes in the count  it is about finding people who have vote illegal
idx50,glitch wisconsin vote, System Glitch Also Uncovered In Wisconsin Reversal of Swapped Vote Removes Lead from Joe Biden
idx51,georgia suitcase ballot,Video footage from Georgia show suitcase filled with ballot pull from under a table AFTER supervisors told poll worker to leave room and 4 people stayed behind to keep counting vote 
idx55,dominion front smartmatic,Did you know a foreign company DOMINION was counting our vote in Michigan  Arizona and Georgia and other state But it was a front for SMARTMATIC  who was really doing the computing
idx55,dominion smartmatic foreign, Did you know a foreign company DOMINION was counting our vote in Michigan  Arizona and Georgia and other state But it was a front for SMARTMATIC  who was really doing the computing
idx59,mail-in ballot without observer,"donald trump election night 800,000 lead was wiped out by hundred of thousand of mail-in ballot count without any Republican observer"
idx61,ballot scan multiple time,Dominion contractor at Detroit counting center say thousand of ballot were scan multiple time
idx63,ballot tamper usps,Whistleblowers reveal that the USPS is responsible for tamper with hundred of thousand of ballot
idx67,arizona upload error,"Ballot Count Upload Error in Arizona, Over 6,000 False Biden vote Discovered"
idx72,identit dead vote,Someone use the identit of dead people to vote in the presidential election
idx76,backdat ballot postmark,Another alleged case of backdat postmark on ballot at the USPS
idx79,biden black vote obama,They know Biden didn't get more vote from the Black community than Obama
idx82,lincoln mail-in ballot fraud,President Lincoln was the target of a plot using mail-in ballot fraud
idx86,unaccount mail-in ballot,Country FLOODED with unaccount for mail-in ballot 
idx88,georgia poll worker leave, BREAKING Video footage from Georgia show that poll worker were told to stop counting and leave  while 4 people stayed behind to continue counting ballot in private
idx89,353 counties voter,New Judicial Watch Study find 353 U.S. Counties in 29 state with Voter Registration Rates Exceeding 100%
idx96,23 000 georgia ballot biden,"One Batch of 23,000 Ballot All For Biden Identified in Georgia That Were Fraudulent More than Enough for Trump Win"
idx97,"35,000 dem candidate","Email alleges 35,000 vote given to each dem candidate in Pima County"
idx100,usps veritas,BREAKING Another USPS worker in Pennsylvania has come forth to Project Veritas
idx105,dead absentee detroit,"10,000 confirmed dead voted by absentee in Detroit"
idx105,warren dominion secure,Dominion NOT secure senator Warren on integrity of US voting machines
idx108,georgia heist result,The Bank Heist tape changes the result in Georgia
idx110,arizona tainted vote,In Arizona  it turns out that 3% of the vote cast in the 100 count vote sampling were tainted or worse
idx111,mail-in rejection rate,Mail-In rejection rate was minuscule compared to what it use to be
idx112,broken voting machine,report of broken voting machine in New York City and voter being told they will scan the ballot when the machine are back up
idx113,nevada email breach,it appears to be evidence of a breach within the Nevada Secretary of State's email system
idx116,smartmatic count germany,Rudy Giuliani say vote in 28 state were sent to Germany and Spain to be count by Smartmatic 
idx117,smartmatic count spain,Rudy Giuliani say vote in 28 state were sent to Germany and Spain to be count by Smartmatic
idx119,illegal ballot evidence fbi,Illegal vote Former Trump data strategist matt braynard discovers thousand of illegally cast mail-in ballot and hands over evidence of electoral fraud to the FBI 
idx121,every single ballot biden,"Very Odd Michigan Found Over 100,000 Ballot and Every Single One Has Joe Biden Name on It"
idx122,ballot reject georgia zero,Almost ZERO ballot reject in Georgia this election In years past  close to 4%
idx124,biden 80 million vote,Joe Biden only won 17% of American counties yet somehow garnered over 80 million vote and beat Trump
idx128,glitch steal vote,All of the mechanical glitch that took place on Election Night were really THEM getting caught trying to steal vote
idx132,nevada vote multiple time,"nevada 42,248 vote multiple time"
idx134,dead people vote michigan,Said 10000 DEAD PEOPLE VOTE IN MICHIGAN
idx135,dominion secure texas,Dominion Voting system  turned down by Texas and many others because it was not good or secure
idx136,poll watcher thrown out room,From large numbers of Poll Watcher that were thrown out of vote counting room in many of our States
idx136,ballot alter democrat, to million of ballot that have been alter by Democrat
idx137,pollster democrat stole election,Nolte Top pollster find 47% Say Likely Democrat Stole Election 
idx141,poll watcher access,Poll Watcher Denied Access  Illegal Campaigning at poll Locations
idx142,biden vote dumpster,"wow we just found 5,000 more Biden vote in this dumpster"
idx143,scan ballot after hours,Surveillance Footage show Atlanta worker Scan Ballot from Suitcase After Hours
idx147,vote count without observer,Overnight vote count happened without observer
idx152,dominion machine manipulate,Dominion machine were built to be manipulate 
idx153,glenn chong smartmatic,"Filipino attorney election watchdog Glenn Chong documents how Smartmatic machine were preloaded before Election Day with more than 4,100 vote"
idx153,dominion employee truth,Many Dominion employee have reached out to us to tell the truth
idx157,wisconsin ballot backdate,"USPS whistleblower Ethan Pease describes how 100,000 missing mail-in ballot in Wisconsin were illegally backdate"
idx167,jimmy carter mail-in ballot, Mail-in ballot are particularly prone to fraud  we were warned about that from Democrat President Jimmy Carter in a report about a dozen years ago
idx170,dominion vote stolen biden,Dominion Voting System  use in state where tens of thousand of vote were stolen from donald trump and given to Biden
idx181,vote statistical anomalies,Election Anomalies in vote count historical and statistical Key reasons to doubt that Biden won on Nov 2
idx184,unsolicited ballot without verification,democrat never believed they could win this election honestly  that's why they mailed out million of unsolicited ballot without any verification measures
idx185,illegal ballot pennsylvania,"Over 200,000 ballot are suspect and were count illegal in Pennsylvania"
idx186,nevada vote twice,"Nevada lawsuit We are presenting to the court over 40,000 people who vote twice in the election"
idx190,georgia signature verif,The Fake recount going on in Georgia mean nothing because they are not allowing signature to be looked at and verif
idx191,signature check ballot,President Donald Trump Democrat officials ensured that there were no signature check on ballot
idx224,ballot suitcase table,Poll watchers were ordered to leave the room and then suitcase of ballot were pull out from beneath a table
idx228,sharpie vote cancel,People literally had their vote cancel because they were given a sharpie at the poll
idx226,michigan vote wrong person,"If faulty machine use in Michigan from one county gave 6,000 vote to the wrong person"
idx229,georgia ineligible ballot,"BREAKING Donald Trump may win the state of Georgia after 132,000 ballot may be ineligible"
idx233,ware county forensic,Yesterday we learned a forensic examination of a Ware County georgia 
idx235,vote found all biden,They just found 23K vote in Philly and they were all for Biden
idx239,weighted race dominion,"Dominion Voting machine ALL INCLUDE Weighted Race Feature Whose Only Purpose Is Cheat in Elections"
